,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score,Match_id,AF_Away,AF_Home,SC_Away,SC_Home,match_result,match_result_home_margin,match_result_away_margin,sc_result,sc_correct?,af_result,af_correct?,diff_fantasy_result
1542,2017, Fri 7 Jul 7:20pm,Adelaide Oval,41948,9433,Adelaide,Western Bulldogs,104,45,9433,1456,1849,1471,1832,home_win,59,-59,home_win,True,home_win,True,False
1543,2017, Sat 8 Jul 1:45pm,UTAS Stadium,12156,9434,Hawthorn,GWS,97,97,9434,1832,1537,1720,1583,tie,0,0,away_win,False,away_win,False,False
1544,2017, Sat 8 Jul 2:10pm,MCG,63537,9435,Collingwood,Essendon,80,117,9435,1773,1538,1798,1502,away_win,-37,37,away_win,True,away_win,True,False
1545,2017, Sat 8 Jul 4:35pm,SCG,32987,9436,Sydney,Gold Coast,118,51,9436,1619,1723,1514,1785,home_win,67,-67,home_win,True,home_win,True,False
1546,2017, Sat 8 Jul 7:25pm,Marvel Stadium,47514,9438,St Kilda,Richmond,138,71,9438,1358,1827,1372,1928,home_win,67,-67,home_win,True,home_win,True,False
1547,2017, Sat 8 Jul 7:25pm,Gabba,18769,9437,Brisbane,Geelong,78,163,9437,1760,1386,1940,1358,away_win,-85,85,away_win,True,away_win,True,False
1548,2017, Sun 9 Jul 1:10pm,Marvel Stadium,19267,9439,North Melbourne,Fremantle,82,86,9439,1573,1671,1597,1704,away_win,-4,4,home_win,False,home_win,False,False
1549,2017, Sun 9 Jul 2:40pm,Domain Stadium,36766,9441,West Coast,Port Adelaide,88,120,9441,1588,1346,1790,1509,away_win,-32,32,away_win,True,away_win,True,False
1550,2017, Sun 9 Jul 3:20pm,MCG,47266,9440,Carlton,Melbourne,82,90,9440,1491,1806,1537,1765,away_win,-8,8,home_win,False,home_win,False,False
1551,2017, Fri 14 Jul 7:50pm,Marvel Stadium,47156,9442,St Kilda,Essendon,57,118,9442,1955,1465,1867,1434,away_win,-61,61,away_win,True,away_win,True,False
1552,2017, Sat 15 Jul 1:40pm,Adelaide Oval,34138,9444,Port Adelaide,North Melbourne,127,57,9444,1466,1720,1459,1841,home_win,70,-70,home_win,True,home_win,True,False
1553,2017, Sat 15 Jul 1:45pm,MCG,70345,9443,Geelong,Hawthorn,88,85,9443,1571,1520,1688,1612,home_win,3,-3,away_win,False,away_win,False,False
1554,2017, Sat 15 Jul 4:35pm,Metricon Stadium,17275,9445,Gold Coast,Collingwood,88,103,9445,1674,1471,1822,1479,away_win,-15,15,away_win,True,away_win,True,False
1555,2017, Sat 15 Jul 7:10pm,TIO Stadium,12104,9447,Melbourne,Adelaide,70,116,9447,1672,1500,1813,1486,away_win,-46,46,away_win,True,away_win,True,False
1556,2017, Sat 15 Jul 7:25pm,GIANTS Stadium,21924,9446,GWS,Sydney,83,96,9446,1543,1540,1711,1587,away_win,-13,13,away_win,True,away_win,True,False
