,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
168, Sun 29 Jul 12:40pm,AAMI Stadium,14583,5511,Port Adelaide, Fremantle,48,75
169, Sun 29 Jul 2:40pm,Domain Stadium,35767,5512,West Coast, Brisbane,175,77
170, Sun 29 Jul 3:15pm,Marvel Stadium,23498,5513,St Kilda, Western Bulldogs,118,42
171, Fri 3 Aug 7:50pm,MCG,65287,5514,Hawthorn, Geelong,116,118
172, Sat 4 Aug 1:45pm,Marvel Stadium,21599,5515,Western Bulldogs, North Melbourne,61,115
173, Sat 4 Aug 2:10pm,GIANTS Stadium,6811,5516,GWS, Port Adelaide,107,73
174, Sat 4 Aug 2:40pm,Domain Stadium,39694,5517,Fremantle, West Coast,113,48
175, Sat 4 Aug 7:40pm,Gabba,22193,5519,Brisbane, Richmond,84,132
176, Sat 4 Aug 7:40pm,MCG,57873,5518,Collingwood, St Kilda,91,85
177, Sun 5 Aug 1:10pm,MCG,18097,5520,Melbourne, Gold Coast,108,66
178, Sun 5 Aug 3:15pm,Marvel Stadium,36942,5521,Carlton, Sydney,71,93
179, Sun 5 Aug 4:10pm,AAMI Stadium,40030,5522,Adelaide, Essendon,104,100
180, Fri 10 Aug 6:40pm,Domain Stadium,37812,5523,West Coast, Geelong,102,97
181, Sat 11 Aug 1:40pm,AAMI Stadium,35027,5525,Adelaide, Fremantle,119,91
182, Sat 11 Aug 1:45pm,MCG,23464,5524,St Kilda, Melbourne,107,82
183, Sat 11 Aug 4:40pm,Metricon Stadium,14657,5526,Gold Coast, GWS,109,79
184, Sat 11 Aug 7:40pm,ANZ Stadium,45827,5528,Sydney, Collingwood,70,78
185, Sat 11 Aug 7:40pm,Marvel Stadium,25977,5527,Carlton, Brisbane,113,77
186, Sun 12 Aug 1:10pm,UTAS Stadium,14431,5529,Hawthorn, Port Adelaide,159,87
187, Sun 12 Aug 3:15pm,MCG,28286,5530,Richmond, Western Bulldogs,150,80
188, Sun 12 Aug 4:40pm,Marvel Stadium,42674,5531,Essendon, North Melbourne,76,100
189, Fri 17 Aug 7:50pm,Marvel Stadium,38169,5536,Geelong, St Kilda,123,81
190, Sat 18 Aug 1:45pm,MCG,59381,5533,Essendon, Carlton,60,156
191, Sat 18 Aug 2:10pm,Canberra Oval,7561,5537,GWS, Melbourne,59,84
192, Sat 18 Aug 2:40pm,Domain Stadium,32721,5540,Fremantle, Richmond,94,72
193, Sat 18 Aug 7:40pm,Marvel Stadium,44956,5539,Collingwood, North Melbourne,61,91
194, Sat 18 Aug 7:40pm,Gabba,18979,5532,Brisbane, Adelaide,95,85
195, Sun 19 Aug 12:40pm,AAMI Stadium,13683,5534,Port Adelaide, West Coast,50,98
196, Sun 19 Aug 3:15pm,Marvel Stadium,19396,5538,Western Bulldogs, Sydney,85,167
197, Sun 19 Aug 4:40pm,MCG,23098,5535,Hawthorn, Gold Coast,129,65
198, Fri 24 Aug 7:50pm,MCG,47590,5541,Richmond, Essendon,102,57
199, Sat 25 Aug 1:40pm,AAMI Stadium,13953,5542,Port Adelaide, Brisbane,93,104
200, Sat 25 Aug 1:45pm,Marvel Stadium,17327,5543,St Kilda, GWS,163,35
201, Sat 25 Aug 4:40pm,SCG,31167,5544,Sydney, Hawthorn,95,102
202, Sat 25 Aug 5:40pm,Domain Stadium,40527,5545,West Coast, Collingwood,107,58
203, Sat 25 Aug 7:40pm,Metricon Stadium,15251,5546,Gold Coast, Carlton,98,86
204, Sun 26 Aug 1:10pm,GMHBA Stadium,18047,5547,Geelong, Western Bulldogs,107,73
205, Sun 26 Aug 3:15pm,Marvel Stadium,26482,5548,North Melbourne, Fremantle,79,132
206, Sun 26 Aug 4:40pm,MCG,18450,5549,Melbourne, Adelaide,81,150
0, Fri 22 Mar 8:10pm,AAMI Stadium,42218,5550,Adelaide, Essendon,82,117
1, Sat 23 Mar 4:40pm,Domain Stadium,39629,5551,Fremantle, West Coast,108,80
2, Thu 28 Mar 7:40pm,MCG,80971,5552,Carlton, Richmond,101,106
3, Sat 30 Mar 1:40pm,Marvel Stadium,25263,5553,Western Bulldogs, Brisbane,127,59
4, Sat 30 Mar 4:40pm,ANZ Stadium,23690,5554,GWS, Sydney,76,106
5, Sat 30 Mar 6:40pm,Metricon Stadium,13832,5555,Gold Coast, St Kilda,90,77
6, Sun 31 Mar 1:10pm,MCG,22924,5556,Melbourne, Port Adelaide,54,133
7, Sun 31 Mar 4:40pm,Marvel Stadium,41040,5557,North Melbourne, Collingwood,87,103
8, Mon 1 Apr 3:15pm,MCG,76300,5558,Hawthorn, Geelong,86,93
9, Fri 5 Apr 7:50pm,MCG,56783,5559,St Kilda, Richmond,82,99
10, Sat 6 Apr 1:45pm,SCG,20372,5560,Sydney, Gold Coast,114,73
11, Sat 6 Apr 2:10pm,Marvel Stadium,19210,5561,Western Bulldogs, Fremantle,78,106
12, Sat 6 Apr 3:40pm,Gabba,21308,5562,Brisbane, Adelaide,77,96
13, Sat 6 Apr 7:10pm,AAMI Stadium,25122,5563,Port Adelaide, GWS,134,78
14, Sat 6 Apr 7:40pm,MCG,51153,5564,Essendon, Melbourne,184,36
15, Sun 7 Apr 1:10pm,Marvel Stadium,34152,5565,Geelong, North Melbourne,112,108
16, Sun 7 Apr 2:40pm,Domain Stadium,38389,5567,West Coast, Hawthorn,98,148
17, Sun 7 Apr 3:15pm,MCG,84247,5566,Collingwood, Carlton,117,100
18, Fri 12 Apr 6:40pm,Domain Stadium,35963,5568,Fremantle, Essendon,68,72
19, Sat 13 Apr 1:45pm,Blundstone Arena,13221,5569,North Melbourne, Sydney,92,131
20, Sat 13 Apr 2:10pm,MCG,18571,5570,Melbourne, West Coast,83,177
21, Sat 13 Apr 4:40pm,Canberra Oval,11092,5571,GWS, St Kilda,68,140
